"","Psylvestris x Fsylvatica (N = 2)","Psylvestris x Pnigra (N = 97)","Psylvestris x Ppinaster (N = 27)","Psylvestris x Qpyrenaica (N = 101)"
"min","30","12","14","12"
"max","38","85","90","99"
"mean (sd)","34.00 $\pm$ 5.66","50.03 $\pm$ 13.62","43.04 $\pm$ 18.55","43.05 $\pm$ 16.04"
"min","219.563085936553","311.236333157484","319.017241486421","420.876405065234"
"max","615.399113288662","1644.60107861625","1287.38665078778","2270.61052144437"
"mean (sd)","417.48 $\pm$ 279.90","707.04 $\pm$ 316.69","475.32 $\pm$ 205.94","1,070.03 $\pm$ 458.92"
"min","19.3249990706458","14.1246865746937","11.248238323605","8.38843449836341"
"max","48.3652225127864","31.0890473259694","37.5090724526769","32.4640973053617"
"mean (sd)","33.85 $\pm$ 20.53","22.95 $\pm$ 4.03","29.73 $\pm$ 5.95","19.41 $\pm$ 4.89"
"min","18.0503534722222","11.21594375","4.56888125","4.139475"
"max","40.3381138888889","43.0608812777778","42.6639161388889","58.6143888888889"
"mean (sd)","29.19 $\pm$ 15.76","26.93 $\pm$ 7.67","31.10 $\pm$ 7.90","30.43 $\pm$ 12.84"
"min","13.75","6.975000025","6.96551717931035","4.31999988"
"max","21.58500005","20.3333334677419","20.8181817700535","21.36000005"
"mean (sd)","17.67 $\pm$ 5.54","14.59 $\pm$ 2.52","15.90 $\pm$ 3.21","13.76 $\pm$ 3.52"
